date,season_sin,season_cos,solar_declination_rad,daylength_hrs,rbf_spring_equinox,rbf_summer_solstice,rbf_autumn_equinox,rbf_winter_solstice,temp_mean_C,temp_max_C,temp_min_C,humidity_pct,wind_speed_ms,rainfall_mm,radiation_MJm2,vpd_kPa,et0_mm,rainfall_7d_mm,rainfall_14d_mm,rainfall_21d_mm,rainfall_30d_mm,rainfall_45d_mm,et0_7d_mm,et0_14d_mm,moisture_balance_7d_mm,moisture_balance_14d_mm,precip_intensity_mm_hr,volume_change_lag1_Mm3,volume_change_lag2_Mm3,inflow_obstacle_m3,outflow_baptism_m3,net_inflow_m3,inflow_lag1_m3,inflow_lag2_m3,net_inflow_lag1_m3,net_inflow_lag2_m3,net_inflow_7d_ma_m3,level_m,volume_Mm3,level_change_m,volume_change_Mm3,volume_change_2d_Mm3,volume_change_3d_Mm3
2012-09-01,-0.878637494161,-0.477489428003,0.126369605997,12.6266683791,3.22384759552e-18,0.000376879954303,0.58622359522,1.68245796865e-08,29.4965277778,36.4333333333,24.0666666667,59.2615740741,2.6099537037,0,24.565,1.67926291021,6.30622292928,0,0,0,,,,,,,0,,,644704.73,158999.79,485704.94,,,,,485704.94,-212.09,3805.70672727,,,,
2012-09-02,-0.886721063083,-0.46230483048,0.119655092697,12.5929724307,1.97566049474e-18,0.000303220038217,0.619206063817,2.32620619596e-08,28.9986111111,36.4333333333,22.3,57.4976851852,2.57546296296,0,24.416,1.70236906066,6.20208920211,0,0,0,,,,,,,0,,,636081.39,161842.79,474238.6,644704.73,,485704.94,,479971.77,-212.1,3804.10562771,-0.00999999999999,-1.60109956709,,
2012-09-03,-0.894542236976,-0.44698342952,0.11290512301,12.5591649541,1.20716090216e-18,0.000243235964697,0.652111920166,3.20676566528e-08,30.124537037,37.4666666667,24.4,59.1412037037,2.07708333333,0,23.783,1.74608769368,5.97744529432,0,0,0,,,18.4857574257,,-18.4857574257,,0,-1.60109956709,,618227.48,162996.24,455231.24,636081.39,644704.73,474238.6,485704.94,471724.926667,-212.105,3803.30518831,-0.005,-0.800439393934,-2.40153896103,
2012-09-04,-0.90209870143,-0.431529758971,0.106121697099,12.5252530239,7.35415938861e-19,0.000194541703122,0.684737494185,4.407590861e-08,30.4791666667,38.8333333333,23.9,56.5694444444,1.85810185185,0,23.773,1.89404299831,5.98805499712,0,0,0,,,24.4738124228,,-24.4738124228,,0,-0.800439393934,-1.60109956709,614961.74,161684.76,453276.98,618227.48,636081.39,455231.24,474238.6,467112.94,-212.11,3802.50482251,-0.00500000000002,-0.800365800882,-1.60080519482,-3.20190476191
2012-09-05,-0.909388220365,-0.415948391825,0.0993068250388,12.4912436091,4.46699994964e-19,0.00015513602858,0.716871164437,6.04018659163e-08,30.3668981481,38.6666666667,24.2666666667,51.1944444444,2.33888888889,0,24.047,2.11483220067,6.51261349871,0,0,0,,,30.9864259215,30.9864259215,-30.9864259215,-30.9864259215,0,-0.800365800882,-0.800439393934,624832.92,162012.78,462820.14,614961.74,618227.48,453276.98,455231.24,466254.38,-212.115,3801.7045303,-0.005,-0.800292207801,-1.60065800868,-2.40109740262
2012-09-06,-0.916408636694,-0.400243938857,0.092462526223,12.4571435787,2.70529038542e-19,0.000123346734804,0.748295521659,8.25304984454e-08,29.2342592593,38.2666666667,21.5666666667,51.8842592593,2.34814814815,0,23.981,1.95360763496,6.32507695227,0,0,0,,,37.3115028738,37.3115028738,-37.3115028738,-37.3115028738,0,-0.800292207801,-0.800365800882,622495.01,159404.64,463090.37,624832.92,614961.74,462820.14,453276.98,465727.045,-212.12,3800.90431169,-0.005,-0.800218614706,-1.60051082251,-2.40087662339
2012-09-07,-0.923157872965,-0.384421047269,0.0855908287651,12.4229597071,1.63352905158e-19,9.77817211796e-05,0.778789724475,1.12432951945e-07,29.0532407407,37.2666666667,22.8333333333,58.8935185185,2.80393518519,0,22.981,1.65166605772,6.26830902018,0,0,0,,,43.579811894,43.579811894,-43.579811894,-43.579811894,0,-0.800218614706,-0.800292207801,647859.95,161220.75,486639.2,622495.01,624832.92,463090.37,462820.14,468714.495714,-212.13,3799.30409524,-0.00999999999999,-1.60021645021,-2.40043506492,-3.20072727272
2012-09-08,-0.929633931968,-0.368484399308,0.0786937688974,12.3886986799,9.83455850564e-20,7.7286337967e-05,0.80813201366,1.52717142946e-07,28.83125,36.4333333333,22.3333333333,57.7824074074,2.72847222222,0,23.848,1.67467891459,6.17681111518,0,0,0,,,43.4504000799,49.7566230092,-43.4504000799,-49.7566230092,0,-1.60021645021,-0.800218614706,654155.82,164597.43,489558.39,647859.95,622495.01,486639.2,463090.37,469264.988571,-212.14,3797.70417316,-0.00999999999999,-1.59992207793,-3.20013852815,-4.00035714285
2012-09-09,-0.935834897335,-0.352438710885,0.0717733903677,12.3543671003,5.90334148352e-20,6.09063836858e-05,0.836102346429,2.06822126938e-07,28.4726851852,35,22.9,57.9444444444,2.44699074074,0,20.834,1.63395005081,5.43204596421,0,0,0,,,42.680356842,55.1886689734,-42.680356842,-55.1886689734,0,-1.59992207793,-1.60021645021,658917.59,165838.92,493078.67,654155.82,647859.95,489558.39,486639.2,471956.427143,-212.15,3796.10454545,-0.01,-1.59962770563,-3.19954978356,-4.79976623377
2012-09-10,-0.941758934099,-0.336288730177,0.0648317438334,12.3199714951,3.53310037557e-20,4.78561691193e-05,0.862485108076,2.79268042952e-07,28.6175925926,35.3,22.7333333333,59.8796296296,2.86111111111,0,21.607,1.57191702778,5.72434172562,0,0,0,0,,42.4272532733,60.913010699,-42.4272532733,-60.913010699,0,-1.59962770563,-1.59992207793,651498.65,164595.48,486903.17,658917.59,654155.82,493078.67,489558.39,476480.988571,-212.155,3795.30484199,-0.005,-0.799703463199,-2.39933116882,-3.99925324676
2012-09-11,-0.947404289244,-0.320039236223,0.0578708862542,12.2855183208,2.10828383038e-20,3.7491091023e-05,0.887071854993,3.75976339466e-07,29.4574074074,36.8333333333,23.9,61.7615740741,2.70277777778,0,22.166,1.57266469842,5.92747480083,0,0,0,0,,42.366673077,66.8404854998,-42.366673077,-66.8404854998,0,-0.799703463199,-1.59962770563,652711.04,166514.63,486196.41,651498.65,658917.59,486903.17,493078.67,481183.764286,-212.16,3794.50521212,-0.005,-0.799629870118,-1.59933333332,-3.19896103894
2012-09-12,-0.952769292217,-0.303695037511,0.0508928802825,12.2510139704,1.25434560368e-20,2.92841929398e-05,0.909664040788,5.04678520223e-07,28.73125,36,23.0666666667,61.9375,2.34976851852,0,21.911,1.50114108043,5.5336868563,0,0,0,0,,41.3877464346,72.3741723561,-41.3877464346,-72.3741723561,0,-0.799629870118,-0.799703463199,662583.93,165120.12,497463.81,652711.04,651498.65,486196.41,486903.17,486132.86,-212.17,3792.90617316,-0.00999999999999,-1.59903896104,-2.39866883116,-3.19837229436
2012-09-13,-0.957852355428,-0.287260970551,0.043899793652,12.2164647799,7.44081279546e-21,2.2806228551e-05,0.930075675956,6.75435929235e-07,28.0474537037,34.5,22.0333333333,59.599537037,2.41203703704,0,22.389,1.53133389453,5.42301514995,0,0,0,0,,40.4856846323,77.7971875061,-40.4856846323,-77.7971875061,0,-1.59903896104,-0.799629870118,647559,163922.1,483636.9,662583.93,652711.04,497463.81,486196.41,489068.078571,-212.175,3792.10676407,-0.00500000000002,-0.79940909092,-2.39844805196,-3.19807792208
2012-09-14,-0.962651974716,-0.270741898448,0.0368936985652,12.1818770348,4.40087037112e-21,1.7708783035e-05,0.94813587149,9.01298252006e-07,27.9104166667,34.8333333333,21.4666666667,57.662037037,2.19351851852,0,22.72,1.59201694293,5.3937066315,0,0,0,0,,39.6110822436,83.1908941376,-39.6110822436,-83.1908941376,0,-0.79940909092,-1.59903896104,652860.78,160558.5,492302.28,647559,662583.93,483636.9,497463.81,489877.09,-212.185,3790.50816667,-0.00999999999999,-1.5985974026,-2.39800649352,-3.99704545455
2012-09-15,-0.967166729798,-0.254142709461,0.0298766710792,12.1472569771,2.59520582239e-21,1.37100485901e-05,0.963691217908,1.19913459031e-06,27.7854166667,35.0333333333,21.3666666667,59.1018518519,1.76111111111,0,22.802,1.52671105184,5.12958007156,0,0,0,0,0,38.5638512,82.0142512799,-38.5638512,-82.0142512799,0,-1.5985974026,-0.79940909092,645928.74,162798.27,483130.47,652860.78,647559,492302.28,483636.9,488958.815714,-212.195,3788.90986364,-0.00999999999999,-1.5983030303,-3.1969004329,-3.99630952382
2012-09-16,-0.971395284684,-0.237468315558,0.0228507904909,12.112610812,1.52587890625e-21,1.05828905109e-05,0.976607953422,1.59067833123e-06,28.0027777778,36.7,20.4,57.2546296296,1.83726851852,0,22.313,1.61600658024,5.28180123416,0,0,0,0,0,38.4136064699,81.0939633119,-38.4136064699,-81.0939633119,0,-1.5983030303,-1.5985974026,660421.38,167137.2,493284.18,645928.74,652860.78,483130.47,492302.28,488988.174286,-212.205,3787.31185498,-0.01,-1.59800865801,-3.19631168831,-4.79490909091
2012-09-17,-0.975336388077,-0.220723650961,0.0158181387201,12.077944715,8.94506218293e-22,8.14487913673e-06,0.986773878434,2.10383575272e-06,28.2479166667,35.7,22.7666666667,60.8194444444,2.23449074074,0,21.891,1.50251093681,5.41105339122,0,0,0,0,0,38.1003181355,80.5275714088,-38.1003181355,-80.5275714088,0,-1.59800865801,-1.5983030303,657929.31,171392.7,486536.61,660421.38,645928.74,493284.18,483130.47,488935.808571,-212.21,3786.51296104,-0.005,-0.798893939398,-2.39690259741,-3.99520562771
2012-09-18,-0.978988873741,-0.203913670683,0.0087807996935,12.0432648386,5.22831434073e-22,6.25e-06,0.994099978045,2.77431857497e-06,27.8368055556,38,20.1666666667,55.0972222222,2.43055555556,0,22.417,1.68123237624,5.9872887857,0,0,0,0,0,38.1601321204,80.5268051974,-38.1601321204,-80.5268051974,0,-0.798893939398,-1.59800865801,656555.34,171878.25,484677.09,657929.31,660421.38,486536.61,493284.18,488718.762857,-212.22,3784.91539394,-0.00999999999999,-1.59756709957,-2.39646103897,-3.99446969698
2012-09-19,-0.982351660847,-0.18704334907,0.00174085872642,12.0085773196,5.22831434073e-22,4.78178915453e-06,0.998521719772,3.64767267701e-06,28.3631944444,37.2333333333,21.4333333333,53.599537037,2.14583333333,0,22.228,1.79133870395,5.64873325842,0,0,0,0,0,38.2751785225,79.6629249571,-38.2751785225,-79.6629249571,0,-1.59756709957,-0.798893939398,663561.96,168360.36,495201.6,656555.34,657929.31,484677.09,486536.61,488395.59,-212.23,3783.31812121,-0.00999999999999,-1.59727272727,-3.19483982684,-3.99373376624
2012-09-20,-0.985423754292,-0.17011767832,-0.00529959809467,11.973888286,8.94506218293e-22,3.64767267701e-06,1,4.78178915453e-06,27.9106481481,35.2666666667,21.8333333333,56.3611111111,2.18171296296,0,21.972,1.64095725538,5.3383207947,0,0,0,0,0,38.1904841672,78.6761687995,-38.1904841672,-78.6761687995,0,-1.59727272727,-1.59756709957,657734.91,162651.84,495083.07,663561.96,656555.34,495201.6,484677.09,490030.757143,-212.235,3782.51959524,-0.00500000000002,-0.798525974024,-2.3957987013,-3.99336580087
2012-09-21,-0.988204244994,-0.153141667013,-0.0123384845305,11.9392038639,1.52587890625e-21,2.77431857497e-06,0.998521719772,6.25e-06,27.5203703704,34.2666666667,21.3,57.5486111111,2.39722222222,0,21.492,1.56036165723,5.21860474764,0,0,0,0,0,38.0153822834,77.626464527,-38.0153822834,-77.626464527,0,-0.798525974024,-1.59727272727,654736.49,160922.45,493814.04,657734.91,663561.96,495083.07,495201.6,490246.722857,-212.24,3781.72114286,-0.005,-0.798452380957,-1.59697835498,-3.19425108226
2012-09-22,-0.990692310162,-0.136120338623,-0.019373714807,11.9045301848,2.59520582239e-21,2.10383575272e-06,0.994099978045,8.14487913673e-06,27.6043981481,34.5,21.5,58.1805555556,2.35162037037,0,21.946,1.5446976134,5.26316946071,0,0,0,0,0,38.1489716725,76.7128228725,-38.1489716725,-76.7128228725,0,-0.798452380957,-0.798525974024,661958.36,160272,501686.36,654736.49,657734.91,493814.04,495083.07,492897.564286,-212.25,3780.12445887,-0.00999999999999,-1.59668398267,-2.39513636363,-3.19366233765
2012-09-23,-0.992887213536,-0.119058730034,-0.0264032042338,11.8698733928,4.40087037112e-21,1.59067833123e-06,0.986773878434,1.05828905109e-05,27.062037037,33.5,21.4333333333,58.0300925926,2.46875,0,21.991,1.50182471269,5.21841150672,0,0,0,0,0,38.0855819451,76.499188415,-38.0855819451,-76.499188415,0,-1.59668398267,-0.798452380957,660677.12,160707.84,499969.28,661958.36,654736.49,501686.36,493814.04,493852.578571,-212.26,3778.52806926,-0.00999999999999,-1.59638961039,-3.19307359307,-3.99152597402
2012-09-24,-0.994788305609,-0.101961890052,-0.0334248698212,11.8352396508,7.44081279546e-21,1.19913459031e-06,0.976607953422,1.37100485901e-05,25.8789351852,33.6333333333,19.3333333333,58.6273148148,1.8900462963,0,22.502,1.38079609985,4.87345064957,0,0,0,0,0,37.5479792035,75.648297339,-37.5479792035,-75.648297339,0,-1.59638961039,-1.59668398267,666574.97,163575.02,502999.95,660677.12,661958.36,499969.28,501686.36,496204.484286,-212.265,3777.72998485,-0.005,-0.798084415583,-2.39447402598,-3.99115800865
2012-09-25,-0.996395023819,-0.0848348779058,-0.0404366308984,11.8006351488,1.25434560368e-20,9.01298252006e-07,0.963691217908,1.7708783035e-05,26.0289351852,34.2333333333,19.0333333333,55.9513888889,2.01111111111,0,21.559,1.48320207885,4.92997536485,0,0,0,0,0,36.4906657826,74.650797903,-36.4906657826,-74.650797903,0,-0.798084415583,-1.59638961039,656716.5,165159,491557.5,666574.97,660677.12,502999.95,499969.28,497187.4,,,,,,
2012-09-26,-0.99770689271,-0.0676827617546,-0.0474364097292,11.7660661095,2.10828383038e-20,6.75435929235e-07,0.94813587149,2.2806228551e-05,26.7020833333,33.9666666667,20.2,59.0648148148,2.04814814815,0,21.524,1.43416324626,4.86413588929,0,0,0,0,0,35.7060684135,73.981246936,-35.7060684135,-73.981246936,0,,-0.798084415583,654653.33,165788.25,488865.08,656716.5,666574.97,491557.5,502999.95,496282.182857,,,,,,
2012-09-27,-0.99872352408,-0.0505106171852,-0.054422132128,11.7315387961,3.53310037557e-20,5.04678520223e-07,0.930075675956,2.92841929398e-05,27.2206018519,35.8333333333,19.5,54.5393518519,1.63981481481,0,21.001,1.64192227018,4.74352777158,0,0,0,0,0,35.1112753904,73.3017595576,-35.1112753904,-73.3017595576,0,,,673467.23,168781.5,504685.73,654653.33,656716.5,488865.08,491557.5,497653.991429,-212.28,3775.33617316,,,,-2.39381168831
2012-09-28,-0.999444617092,-0.0333235257116,-0.0613917280745,11.6970595189,5.90334148352e-20,3.75976339466e-07,0.909664040788,3.7491091023e-05,28.7594907407,37.4333333333,22.0333333333,59.7314814815,1.91643518519,0,19.762,1.59074286604,4.97006882874,0,0,0,0,0,34.8627394715,72.8781217548,-34.8627394715,-72.8781217548,0,,,647679,171126.3,476552.7,673467.23,654653.33,504685.73,488865.08,495188.085714,-212.28,3775.33617316,0,0,,
2012-09-29,-0.999869958362,-0.0161265732707,-0.0683431323271,11.6626346417,9.83455850564e-20,2.79268042952e-07,0.887071854993,4.78561691193e-05,28.6828703704,34.8333333333,23.1,67.0810185185,1.79467592593,0,16.466,1.29465395305,4.03406664147,0,0,0,0,0,33.6336366522,71.7826083248,-33.6336366522,-71.7826083248,0,0,,665278.73,171186.12,494092.61,647679,673467.23,476552.7,504685.73,494103.264286,-212.285,3774.53838312,-0.005,-0.797790043303,-0.797790043303,
2012-09-30,-0.999999422025,0.0010751512828,-0.0752742850346,11.6282705889,1.63352905158e-19,2.06822126938e-07,0.862485108076,6.09063836858e-05,30.560632716,36.1666666667,24.8666666667,56.5449074074,2.31768518519,0,,1.90395460671,,0,0,0,0,0,28.4152251455,66.5008070906,-28.4152251455,-66.5008070906,0,-0.797790043303,0,655940.19,171951.9,483988.29,665278.73,647679,494092.61,476552.7,491820.265714,-212.29,3773.74066667,-0.005,-0.797716450208,-1.59550649351,-1.59550649351
2012-10-01,-0.99983296977,0.0182765576817,-0.0821831323468,11.5939738517,2.70529038542e-19,1.52717142946e-07,0.836102346429,7.7286337967e-05,30.8150462963,35.7,24.2,44.4328703704,2.48217592593,0,10.946,2.47023838893,4.36667864946,0,0,0,0,0,27.9084531454,65.4564323488,-27.9084531454,-65.4564323488,0,-0.797716450208,-0.797790043303,666453.45,171072,495381.45,655940.19,665278.73,483988.29,494092.61,490731.908571,-212.3,3772.14545455,-0.01,-1.59521212122,-2.39292857143,-3.19071861473
2012-10-02,-0.999370650854,0.0354725557531,-0.0890676270233,11.5597509947,4.46699994964e-19,1.12432951945e-07,0.80813201366,9.77817211796e-05,31.4043981481,36.1333333333,26.7666666667,48.9675925926,2.52476851852,0,12.652,2.34599283416,4.64546411493,0,0,0,0,0,27.6239418955,64.1146076781,-27.6239418955,-64.1146076781,0,-1.59521212122,-0.797716450208,682146.09,172290.75,509855.34,666453.45,655940.19,495381.45,483988.29,493345.885714,-212.305,3771.34795887,-0.005,-0.79749567098,-2.3927077922,-3.19042424241
2012-10-03,-0.998612602084,0.0526580569246,-0.0959257290397,11.525608662,7.35415938861e-19,8.25304984454e-08,0.778789724475,0.000123346734804,28.6743055556,33.4666666667,23.6666666667,58.0023148148,2.76041666667,0,18.663,1.65088639997,4.86308445165,0,0,0,0,0,27.6228904578,63.3289588713,-27.6228904578,-63.3289588713,0,-0.79749567098,-1.59521212122,677375.37,173232,504143.37,682146.09,666453.45,509855.34,495381.45,495528.498571,-212.31,3770.5505368,-0.005,-0.797422077929,-1.59491774891,-3.19012987013
2012-10-04,-0.997559047779,0.0698279757299,-0.102755406192,11.4915535835,1.20716090216e-18,6.04018659163e-08,0.748295521659,0.00015513602858,26.9611111111,33.9666666667,21.5333333333,63.3842592593,2.56064814815,0,15.324,1.30250022467,4.31385889502,0,0,0,0,0,27.1932215813,62.3044969716,-27.1932215813,-62.3044969716,0,-0.797422077929,-0.79749567098,661838.55,174285.63,487552.92,677375.37,682146.09,504143.37,509855.34,493080.954286,-212.315,3769.75318831,-0.005,-0.797348484848,-1.59477056278,-2.39226623376
2012-10-05,-0.996210299702,0.0869772313137,-0.1095546347,11.4575925805,1.97566049474e-18,4.407590861e-08,0.716871164437,0.000194541703122,26.574537037,32.6333333333,21.3666666667,60.4444444444,2.12268518519,0,17.686,1.37546856671,4.22615214338,0,0,0,0,0,26.4493048959,61.3120443674,-26.4493048959,-61.3120443674,0,-0.797348484848,-0.797422077929,658490.19,178243.68,480246.51,661838.55,677375.37,487552.92,504143.37,493608.641429,-212.32,3768.95591342,-0.005,-0.797274891782,-1.59462337663,-2.39204545456
2012-10-06,-0.994566756971,0.104100748935,-0.116321399806,11.4237325718,3.22384759552e-18,3.20676566528e-08,0.684737494185,0.000243235964697,26.2270833333,32.8666666667,20.2,58.912037037,1.94537037037,0,18.442,1.39979612162,4.20430742553,0,0,0,0,0,26.61954568,60.2531823322,-26.61954568,-60.2531823322,0,-0.797274891782,-0.797348484848,693050.34,184464.99,508585.35,658490.19,661838.55,480246.51,487552.92,495679.032857,-212.33,3767.36158442,-0.01,-1.59432900434,-2.39160389612,-3.18895238097
2012-10-07,-0.992628905935,0.121193461471,-0.12305369637,11.3899805794,5.24507523167e-18,2.32620619596e-08,0.652111920166,0.000303220038217,25.3506944444,32.3,19.3,60.1018518519,1.99444444444,0,17.939,1.29052790979,4.08501906498,0,0,0,0,0,30.7045647449,59.1197898904,-30.7045647449,-59.1197898904,0,-1.59432900434,-0.797274891782,687963.33,191558.12,496405.21,693050.34,658490.19,508585.35,480246.51,497452.878571,-212.335,3766.5645303,-0.005,-0.79705411254,-2.39138311688,-3.18865800866
2012-10-08,-0.990397320035,0.138250310911,-0.129749529469,11.3563437331,8.50832308522e-18,1.68245796865e-08,0.619206063817,0.000376879954303,25.2780092593,31.7333333333,21.0666666667,62.7106481481,2.30347222222,0.966666666667,14.423,1.20094663885,3.88399711641,0.966666666667,0.966666666667,0.966666666667,0.966666666667,0.966666666667,30.2218832119,58.1303363573,-29.2552165452,-57.1636696906,0.866666666667,-0.79705411254,-1.59432900434,685510.77,193233.6,492277.17,687963.33,693050.34,496405.21,508585.35,497009.41,-212.34,3765.76754978,-0.005,-0.796980519473,-1.59403463201,-3.18836363635
2012-10-09,-0.987872659635,0.15526624986,-0.136406914981,11.3228292764,1.37610399668e-17,1.21326388667e-08,0.58622359522,0.000467049822216,25.3671506734,32.0666666667,19.5666666667,64.0864737115,1.89600977726,0.2,18.185,1.16277919968,3.93746182871,1.16666666667,1.16666666667,1.16666666667,1.16666666667,1.16666666667,29.5138809257,57.1378228211,-28.347214259,-55.9711561545,1.03333333333,-0.796980519473,-0.79705411254,681369,193755.75,487613.25,685510.77,687963.33,492277.17,496405.21,493831.968571,-212.345,3764.97064286,-0.005,-0.796906926422,-1.5938874459,-2.39094155843
2012-10-10,-0.985055671822,0.172236243028,-0.143023880181,11.2894445712,2.21908312861e-17,8.72331088493e-09,0.553358290004,0.000577083179252,25.3331018519,31.8666666667,19,59.037037037,1.72962962963,0,18.469,1.32358582911,3.88774258138,1.16666666667,1.16666666667,1.16666666667,1.16666666667,1.16666666667,28.5385390554,56.1614295132,-27.3718723887,-54.9947628466,0,-0.796906926422,-0.796980519473,714805.5,195782.4,519023.1,681369,685510.77,487613.25,492277.17,495957.644286,-212.35,3764.17380952,-0.005,-0.796833333327,-1.59374025975,-2.39072077922
2012-10-11,-0.981947190187,0.18915526872,-0.149598464318,11.256197102,3.56788558539e-17,6.25349003183e-09,0.520792329056,0.000710932965204,25.5648148148,32.4,19.4,61.0810185185,1.92060185185,0,15.085,1.27495807437,3.66907714702,1.16666666667,1.16666666667,1.16666666667,1.16666666667,1.16666666667,27.8937573074,55.0869788887,-26.7270906407,-53.920312222,0,-0.796833333327,-0.796906926422,712935.17,197444.55,515490.62,714805.5,681369,519023.1,487613.25,499948.744286,-212.35,3764.17380952,0,0,-0.796833333327,-1.59374025975
2012-10-12,-0.97854813458,0.206018320325,-0.156128719202,11.2230944807,5.71956893355e-17,4.46970237467e-09,0.488694857426,0.00087324060389,26.8539351852,32.6,22.4666666667,61.5833333333,1.89606481481,0.566666666667,18.5,1.3579914292,4.11720938073,1.73333333333,1.73333333333,1.73333333333,1.73333333333,1.73333333333,27.7848145448,54.2341194407,-26.0514812114,-52.5007861073,0.566666666667,0,-0.796833333327,706856.61,200673.15,506183.46,712935.17,714805.5,515490.62,519023.1,503654.022857,-212.35,3764.17380952,0,0,0,-0.796833333327
2012-10-13,-0.974859510837,0.222820407795,-0.162612709777,11.1901444504,9.141778834e-17,3.18529589126e-09,0.457220812689,0.00106943457855,26.6168981481,35.1666666667,19.2666666667,52.3310185185,1.92060185185,0,18.008,1.66173465345,4.3725664569,1.73333333333,1.73333333333,1.73333333333,1.73333333333,1.73333333333,27.9530735761,54.5726192561,-26.2197402428,-52.8392859228,0,0,0,709510.43,202262.85,507247.58,706856.61,712935.17,506183.46,515490.62,503462.912857,-212.355,3763.37704978,-0.005,-0.79675974026,-0.79675974026,-0.79675974026
