Date,station,original_value,new_value,reason,layer
2013-01-09,JORDAN - BAPTISM SITE,2169042.17,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-10,JORDAN - BAPTISM SITE,1792399.59,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-13,JORDAN - BAPTISM SITE,4392918.72,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-14,JORDAN - BAPTISM SITE,8860800.96,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-15,JORDAN - BAPTISM SITE,7554026.93,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-16,JORDAN - BAPTISM SITE,5645842.2,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-17,JORDAN - BAPTISM SITE,4174321.91,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-18,JORDAN - BAPTISM SITE,3113481.38,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-19,JORDAN - BAPTISM SITE,2368718.19,,monthly_IQR_3x (see station/month for bounds),monthly
2013-01-20,JORDAN - BAPTISM SITE,1796065.92,,monthly_IQR_3x (see station/month for bounds),monthly
2018-05-01,JORDAN - BAPTISM SITE,604414.77,,monthly_IQR_3x (see station/month for bounds),monthly
2018-05-02,JORDAN - BAPTISM SITE,584518.63,,monthly_IQR_3x (see station/month for bounds),monthly
2018-12-08,JORDAN - BAPTISM SITE,851535.44,,monthly_IQR_3x (see station/month for bounds),monthly
2018-12-13,JORDAN - BAPTISM SITE,832462.67,,monthly_IQR_3x (see station/month for bounds),monthly
2018-12-14,JORDAN - BAPTISM SITE,905900.89,,monthly_IQR_3x (see station/month for bounds),monthly
2018-12-15,JORDAN - BAPTISM SITE,930846.02,,monthly_IQR_3x (see station/month for bounds),monthly
2018-12-16,JORDAN - BAPTISM SITE,897558.25,,monthly_IQR_3x (see station/month for bounds),monthly
2019-01-26,JORDAN - BAPTISM SITE,1780871.2,,monthly_IQR_3x (see station/month for bounds),monthly
2019-01-27,JORDAN - BAPTISM SITE,1663285.28,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-01,JORDAN - BAPTISM SITE,2130213.04,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-05,JORDAN - BAPTISM SITE,1351208.7,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-06,JORDAN - BAPTISM SITE,1456850.72,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-07,JORDAN - BAPTISM SITE,1404172.86,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-08,JORDAN - BAPTISM SITE,1431628.7,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-09,JORDAN - BAPTISM SITE,1695121.67,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-10,JORDAN - BAPTISM SITE,2105686.78,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-11,JORDAN - BAPTISM SITE,2130645.85,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-12,JORDAN - BAPTISM SITE,1863921.22,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-13,JORDAN - BAPTISM SITE,1559043.35,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-14,JORDAN - BAPTISM SITE,1265275.4,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-25,JORDAN - BAPTISM SITE,1363878.43,,monthly_IQR_3x (see station/month for bounds),monthly
2019-03-26,JORDAN - BAPTISM SITE,1451703.54,,monthly_IQR_3x (see station/month for bounds),monthly
2019-04-01,JORDAN - BAPTISM SITE,947760.27,,monthly_IQR_3x (see station/month for bounds),monthly
2019-04-02,JORDAN - BAPTISM SITE,1010610.58,,monthly_IQR_3x (see station/month for bounds),monthly
2019-04-03,JORDAN - BAPTISM SITE,1006670.14,,monthly_IQR_3x (see station/month for bounds),monthly
2019-04-04,JORDAN - BAPTISM SITE,1080241.58,,monthly_IQR_3x (see station/month for bounds),monthly
2019-04-05,JORDAN - BAPTISM SITE,1206932.3,,monthly_IQR_3x (see station/month for bounds),monthly
2019-04-06,JORDAN - BAPTISM SITE,1234227.14,,monthly_IQR_3x (see station/month for bounds),monthly
