date,kinneret_level
1966-09-01,-210.02
1966-09-15,-210.13
1966-10-01,-210.27
1966-10-15,-210.32
1966-11-01,-210.39
1966-11-15,-210.46
1966-11-30,-210.52
1966-12-01,-210.52
1966-12-10,-210.56
1966-12-15,-210.52
1966-12-20,-210.38
1966-12-30,-210.3
1967-01-16,-210.23
1967-01-31,-209.83
1967-02-10,-209.7
1967-02-22,-209.5
1967-02-25,-209.25
1967-02-28,-209.2
1967-03-07,-208.98
1967-03-08,-208.98
1967-03-10,-208.96
1967-03-13,-209.0
1967-03-15,-209.03
1967-03-16,-209.04
1967-03-19,-209.07
1967-03-20,-209.06
1967-03-25,-209.02
1967-03-26,-208.99
1967-03-27,-208.91
1967-03-28,-208.89
1967-03-29,-208.87
1967-03-30,-208.87
1967-04-02,-208.87
1967-04-04,-208.89
1967-04-09,-208.96
1967-04-16,-208.97
1967-04-20,-208.97
1967-04-26,-208.97
1967-04-30,-208.97
1967-05-07,-208.92
1967-05-13,-208.91
1967-05-18,-208.89
1967-05-31,-208.87
1967-06-12,-208.87
1967-06-22,-208.87
1967-07-05,-208.89
1967-07-12,-208.93
1967-07-19,-208.98
1967-07-25,-209.01
1967-07-31,-209.04
1967-08-06,-209.08
1967-08-13,-209.13
1967-08-21,-209.18
1967-08-30,-209.26
1967-09-02,-209.28
1967-09-10,-209.32
1967-09-17,-209.36
1967-09-24,-209.39
1967-09-30,-209.45
1967-10-07,-209.47
1967-10-14,-209.48
1967-10-21,-209.52
1967-10-31,-209.54
1967-11-07,-209.55
1967-11-14,-209.56
1967-11-21,-209.57
1967-11-30,-209.53
1967-12-07,-209.52
1967-12-14,-209.55
1967-12-21,-209.57
1967-12-27,-209.6
1967-12-31,-209.61
1968-01-07,-209.63
1968-01-14,-209.67
1968-01-17,-209.42
1968-01-18,-209.3
1968-01-24,-209.28
1968-01-31,-209.17
1968-02-07,-209.12
1968-02-11,-209.15
1968-02-14,-209.19
1968-02-18,-209.21
1968-02-19,-209.23
1968-02-20,-209.22
1968-02-21,-209.24
1968-02-29,-209.2
1968-03-03,-209.18
1968-03-10,-209.16
1968-03-17,-209.12
1968-03-24,-209.07
1968-03-31,-209.02
1968-04-07,-208.98
1968-04-14,-208.96
1968-04-21,-208.94
1968-04-28,-208.87
1968-05-05,-208.87
1968-05-12,-208.87
1968-05-19,-208.86
1968-05-26,-208.86
1968-06-03,-208.87
1968-06-09,-208.89
1968-06-16,-208.93
1968-06-23,-208.96
1968-06-30,-209.02
1968-07-14,-209.12
1968-08-04,-209.32
1968-08-06,-209.34
1968-08-11,-209.39
1968-08-18,-209.44
1968-08-26,-209.51
1968-09-01,-209.56
1968-09-08,-209.59
1968-09-25,-209.72
1968-09-29,-209.73
1968-10-06,-209.75
1968-10-13,-209.8
1968-10-20,-209.83
1968-10-30,-209.83
1968-11-04,-209.79
1968-11-10,-209.77
1968-11-19,-209.77
1968-11-24,-209.76
1968-12-08,-209.64
1968-12-09,-209.61
1968-12-18,-209.41
1968-12-29,-209.07
1969-01-06,-209.14
1969-01-09,-209.03
1969-01-15,-209.04
1969-01-27,-208.2
1969-02-07,-208.39
1969-02-10,-208.45
1969-02-14,-208.59
1969-02-21,-208.81
1969-02-28,-208.81
1969-03-09,-208.77
1969-03-16,-208.8
1969-04-08,-208.83
1969-04-15,-208.84
1969-04-22,-208.81
1969-04-29,-208.78
1969-05-04,-208.8
1969-05-11,-208.82
1969-05-18,-208.83
1969-05-25,-208.84
1969-06-08,-208.82
1969-06-15,-208.82
1969-06-22,-208.83
1969-06-29,-208.83
1969-07-07,-208.84
1969-07-14,-208.88
1969-07-21,-208.93
1969-07-29,-209.0
1969-08-07,-209.04
1969-08-14,-209.09
1969-08-21,-209.14
1969-08-28,-209.17
1969-09-07,-209.19
1969-09-15,-209.24
1969-09-21,-209.25
1969-09-28,-209.3
1969-10-07,-209.34
1969-10-14,-209.39
1969-10-21,-209.39
1969-10-29,-209.39
1969-11-07,-209.39
1969-11-14,-209.4
1969-11-21,-209.4
1969-11-30,-209.42
1969-12-03,-209.41
1969-12-21,-209.41
1969-12-31,-209.38
1970-01-04,-209.37
1970-01-11,-209.36
1970-01-19,-209.32
1970-01-25,-209.08
1970-02-01,-209.18
1970-02-08,-209.25
1970-02-15,-209.23
1970-02-22,-209.2
1970-03-01,-209.12
1970-03-12,-208.85
1970-03-24,-208.89
1970-03-30,-208.88
1970-04-05,-208.86
1970-04-12,-208.8
1970-04-28,-208.79
1970-05-03,-208.78
1970-05-10,-208.81
1970-05-19,-208.82
1970-05-26,-208.86
1970-05-31,-208.89
1970-06-08,-208.92
1970-06-13,-208.97
1970-06-21,-209.02
1970-06-28,-209.07
1970-07-05,-209.13
1970-07-12,-209.18
1970-07-20,-209.25
1970-07-26,-209.25
1970-08-02,-209.4
1970-08-09,-209.48
1970-08-16,-209.53
1970-08-26,-209.63
1970-09-02,-209.69
1970-09-06,-209.74
1970-09-13,-209.81
1970-09-20,-209.86
1970-09-27,-209.92
1970-10-04,-209.99
1970-10-12,-210.05
1970-10-18,-210.1
1970-10-25,-210.14
1970-11-03,-210.21
1970-11-08,-210.24
1970-11-15,-210.27
1970-11-22,-210.28
1970-11-29,-210.32
1970-12-07,-210.32
1970-12-13,-210.29
1970-12-20,-210.33
1970-12-28,-210.35
