date,column,original_value,reason,layer
2013-08-12,kfar_nachum_rainfall_mm_sum,-199980.0,"physical_bounds [0, 300]",physical
2024-10-25,kfar_nachum_rainfall_mm_sum,-169915.62,"physical_bounds [0, 300]",physical
2024-10-26,kfar_nachum_rainfall_mm_sum,-809919.0,"physical_bounds [0, 300]",physical
2013-08-12,kfar_nachum_relative_humidity_pct_mean,-1352.1468531468531,"physical_bounds [0, 300]",physical
2013-08-12,kfar_nachum_temperature_C_mean,-1372.8503496503497,"physical_bounds [0, 300]",physical
2013-08-12,kfar_nachum_temperature_C_min,-9999.0,"physical_bounds [0, 300]",physical
2013-08-12,kfar_nachum_temperature_min_C_min,-9999.0,"physical_bounds [0, 300]",physical
2014-01-13,lev_kinneret_relative_humidity_pct_mean,103.3939393939394,"physical_bounds [0, 100]",physical
2020-01-05,lev_kinneret_wind_speed_max1min_ms_max,62.7,"physical_bounds [0, 45]",physical
2020-01-09,lev_kinneret_wind_speed_max1min_ms_max,73.5,"physical_bounds [0, 45]",physical
2020-01-16,lev_kinneret_wind_speed_max1min_ms_max,57.0,"physical_bounds [0, 45]",physical
2013-10-09,beit_tzaida_relative_humidity_pct_mean,10.96527777777778,"monthly_IQR month=10 [4.92, 29.12]",monthly
2015-07-25,beit_tzaida_relative_humidity_pct_mean,39.02777777777778,"monthly_IQR month=7 [41.31, 80.44]",monthly
2015-08-02,beit_tzaida_relative_humidity_pct_mean,43.29577464788732,"monthly_IQR month=8 [32.70, 44.08]",monthly
2015-08-08,beit_tzaida_relative_humidity_pct_mean,44.701388888888886,"monthly_IQR month=8 [45.69, 72.52]",monthly
2015-08-16,beit_tzaida_relative_humidity_pct_mean,40.208333333333336,"monthly_IQR month=8 [31.60, 43.50]",monthly
2015-08-17,beit_tzaida_relative_humidity_pct_mean,38.388888888888886,"monthly_IQR month=8 [45.69, 72.52]",monthly
2016-06-04,beit_tzaida_relative_humidity_pct_mean,30.59027777777778,"monthly_IQR month=6 [34.84, 78.52]",monthly
2016-06-14,beit_tzaida_relative_humidity_pct_mean,26.77777777777778,"monthly_IQR month=6 [34.84, 78.52]",monthly
2016-09-25,beit_tzaida_relative_humidity_pct_mean,30.979166666666668,"monthly_IQR month=9 [39.38, 78.65]",monthly
2015-08-02,beit_tzaida_temperature_C_max,45.8,"monthly_IQR month=8 [32.70, 44.08]",monthly
