date,precip_intensity_mm_hr
2012-06-01,0.0
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,0.0
2012-06-05,0.0
2012-06-06,0.0
2012-06-07,0.0
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,0.0
2012-06-11,0.0
2012-06-12,0.0
2012-06-13,0.0
2012-06-14,0.0
2012-06-15,0.0
2012-06-16,0.0
2012-06-17,0.0
2012-06-18,0.0
2012-06-19,0.0
2012-06-20,0.0
2012-06-21,0.0
2012-06-22,0.0
2012-06-23,0.0
2012-06-24,0.0
2012-06-25,0.0
2012-06-26,0.0
2012-06-27,0.0
2012-06-28,0.0
2012-06-29,0.0
2012-06-30,0.0
2012-07-01,0.0
2012-07-02,0.0
2012-07-03,0.0
2012-07-04,0.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-07,0.0
2012-07-08,0.0
2012-07-09,0.0
2012-07-10,0.0
2012-07-11,0.0
2012-07-12,0.0
2012-07-13,0.0
2012-07-14,0.0
2012-07-15,0.0
2012-07-16,0.0
2012-07-17,0.0
2012-07-18,0.0
2012-07-19,0.0
2012-07-20,0.0
2012-07-21,0.0
2012-07-22,0.0
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,0.0
2012-07-26,0.0
2012-07-27,0.0
2012-07-28,0.0
2012-07-29,0.0
2012-07-30,0.0
2012-07-31,0.0
2012-08-01,0.0
2012-08-02,0.0
2012-08-03,0.0
2012-08-04,0.0
2012-08-05,0.0
2012-08-06,0.0
2012-08-07,0.0
2012-08-08,0.0
2012-08-09,0.0
2012-08-10,0.0
2012-08-11,0.0
2012-08-12,0.0
2012-08-13,0.0
2012-08-14,0.0
2012-08-15,0.0
2012-08-16,0.0
2012-08-17,0.0
2012-08-18,0.0
2012-08-19,0.0
2012-08-20,0.0
2012-08-21,0.0
2012-08-22,0.0
2012-08-23,0.0
2012-08-24,0.0
2012-08-25,0.0
2012-08-26,0.0
2012-08-27,0.0
2012-08-28,0.0
2012-08-29,0.0
2012-08-30,0.0
2012-08-31,0.0
2012-09-01,0.0
2012-09-02,0.0
2012-09-03,0.0
2012-09-04,0.0
2012-09-05,0.0
2012-09-06,0.0
2012-09-07,0.0
2012-09-08,0.0
2012-09-09,0.0
2012-09-10,0.0
2012-09-11,0.0
2012-09-12,0.0
2012-09-13,0.0
2012-09-14,0.0
2012-09-15,0.0
2012-09-16,0.0
2012-09-17,0.0
2012-09-18,0.0
2012-09-19,0.0
2012-09-20,0.0
2012-09-21,0.0
2012-09-22,0.0
2012-09-23,0.0
2012-09-24,0.0
2012-09-25,0.0
2012-09-26,0.0
2012-09-27,0.0
2012-09-28,0.0
2012-09-29,0.0
2012-09-30,0.0
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-05,0.0
2012-10-06,0.0
2012-10-07,0.0
2012-10-08,0.8666666666666667
2012-10-09,1.0333333333333334
2012-10-10,0.0
2012-10-11,0.0
2012-10-12,0.5666666666666667
2012-10-13,0.0
2012-10-14,0.0
2012-10-15,0.9999999999999999
2012-10-16,0.0
2012-10-17,0.0
2012-10-18,0.0
2012-10-19,0.0
2012-10-20,0.0
2012-10-21,0.3666666666666667
2012-10-22,0.0
2012-10-23,0.0
2012-10-24,0.0
2012-10-25,2.1333333333333333
2012-10-26,5.266666666666667
2012-10-27,0.03333333333333333
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.0
2012-10-31,0.0
2012-11-01,0.0
2012-11-02,0.0
2012-11-03,0.0
2012-11-04,0.0
2012-11-05,0.0
2012-11-06,0.1
2012-11-07,0.0
2012-11-08,0.0
2012-11-09,25.6
2012-11-10,13.0
2012-11-11,8.966666666666667
2012-11-12,0.5
2012-11-13,0.033333333333333305
2012-11-14,0.0
2012-11-15,0.0
2012-11-16,0.0
2012-11-17,0.0
2012-11-18,0.16666666666666663
2012-11-19,0.0
2012-11-20,0.0
2012-11-21,0.0
2012-11-22,2.7333333333333334
2012-11-23,5.166666666666666
2012-11-24,2.566666666666667
2012-11-25,0.7666666666666666
2012-11-26,0.03333333333333333
2012-11-27,0.0
2012-11-28,0.0
2012-11-29,0.0
2012-11-30,0.0
2012-12-01,0.0
2012-12-02,0.0
2012-12-03,0.0
2012-12-04,7.8
2012-12-05,0.0
2012-12-06,2.8
2012-12-07,0.8333333333333333
2012-12-08,8.233333333333333
2012-12-09,0.0
2012-12-10,2.9333333333333336
2012-12-11,4.566666666666666
2012-12-12,0.0
2012-12-13,0.033333333333333263
2012-12-14,2.9000000000000004
2012-12-15,0.0
2012-12-16,0.0
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.0
2012-12-20,5.466666666666667
2012-12-21,3.933333333333333
2012-12-22,1.2999999999999994
2012-12-23,0.03333333333333261
2012-12-24,0.0
2012-12-25,1.9333333333333325
2012-12-26,0.0
2012-12-27,0.033333333333332556
2012-12-28,0.0
2012-12-29,0.0
2012-12-30,0.0
2012-12-31,0.033333333333332556
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,5.7333333333333325
2013-01-06,5.666666666666666
2013-01-07,7.199999999999999
2013-01-08,6.3
2013-01-09,1.8333333333333328
2013-01-10,0.2333333333333329
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.19999999999999954
2013-01-28,0.0
2013-01-29,0.6333333333333329
2013-01-30,1.3999999999999995
2013-01-31,4.633333333333333
2013-02-01,1.366666666666666
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,1.2666666666666662
2013-02-07,0.03333333333333272
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.03333333333333272
2013-02-12,0.2999999999999994
